ID,Название,Наличие,Цена
9847,GE Logiq E,В наличии,
9883,GE Logiq E10,В наличии,
9879,GE Logiq S8 XDclear 2.0,В наличии,
9944,GE Versana Essential,В наличии,
9950,GE Versana Premier Black,В наличии,
9906,GE Voluson E10,В наличии,
9904,GE Voluson E8,В наличии,
10639,GE Voluson Expert 22,В наличии,
9866,GE Vscan Extend,В наличии,
9573,Philips 3300,В наличии,
8685,Philips Affiniti 70,В наличии,
8640,Philips CX50,В наличии,
8690,Philips Epiq 5,В наличии,
8700,Philips Epiq 7,В наличии,
8627,Philips Lumify,В наличии,
8645,Philips Sparq,В наличии,
8740,Siemens Acuson NX2 Elite,В наличии,
8732,Siemens Acuson NX3 Elite,В наличии,
10589,GE Invenia Abus 2.0,Под заказ,
9870,GE Logiq P7,Под заказ,
9874,GE Logiq P9,Под заказ,
9853,GE Venue,Под заказ,
9860,GE Venue GO,Под заказ,
9938,GE Versana Active,Под заказ,
9947,GE Versana Balance,Под заказ,
9955,GE Versana Premier Platinum,Под заказ,
9924,GE Vivid E90,Под заказ,
9927,GE Vivid E95,Под заказ,
9930,GE Vivid IQ,Под заказ,
9932,GE Vivid S60N,Под заказ,
9935,GE Vivid S70N,Под заказ,
9916,GE Vivid T8,Под заказ,
9920,GE Vivid T9,Под заказ,
9901,GE Voluson E6,Под заказ,
10613,GE Voluson P8,Под заказ,
9898,GE Voluson S10,Под заказ,
9893,GE Voluson S8,Под заказ,
8674,Philips Affiniti 30,Под заказ,
8680,Philips Affiniti 50,Под заказ,
10573,Philips Affiniti CVX,Под заказ,
8707,Philips Epiq CVX,Под заказ,
8712,Philips Epiq Elite,Под заказ,
8634,Philips Innosight,Под заказ,
8754,Siemens Acuson Freestyle,Под заказ,
8721,Siemens Acuson Juniper,Под заказ,
8750,Siemens Acuson NX2,Под заказ,
8748,Siemens Acuson NX3,Под заказ,
8725,Siemens Acuson P500,Под заказ,
9577,Siemens Acuson Redwood,Под заказ,
8716,Siemens Acuson SC2000 Prime,Под заказ,
8760,Siemens Acuson Sequoia,Под заказ,
